Date : 2022-01-14 11:34:21
Directory : c:\xampp_new\htdocs
Total : 917 files,  405173 codes, 23229 comments, 73654 blanks, all 502056 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| c:\xampp_new\htdocs\www\js\jquery.appear.js                                          | JavaScript  |          1 |          9 |          0 |         10 |
| c:\xampp_new\htdocs\www\js\jquery.backgroundvideo.min.js                             | JavaScript  |         34 |          8 |          7 |         49 |
| c:\xampp_new\htdocs\www\js\jquery.countTo.js                                         | JavaScript  |          1 |          0 |          0 |          1 |
| c:\xampp_new\htdocs\www\js\jquery.downCount.js                                       | JavaScript  |         68 |         27 |         27 |        122 |
| c:\xampp_new\htdocs\www\js\jquery.easing.1.3.js                                      | JavaScript  |          8 |          0 |          0 |          8 |
| c:\xampp_new\htdocs\www\js\jquery.fitvids.js                                         | JavaScript  |         60 |         11 |         11 |         82 |
| c:\xampp_new\htdocs\www\js\jquery.lazyload.min.js                                    | JavaScript  |         16 |          1 |          1 |         18 |
| c:\xampp_new\htdocs\www\js\jquery.localScroll.min.js                                 | JavaScript  |          1 |          6 |          0 |          7 |
| c:\xampp_new\htdocs\www\js\jquery.magnific-popup.min.js                              | JavaScript  |          1 |          3 |          0 |          4 |
| c:\xampp_new\htdocs\www\js\jquery.mb.YTPlayer.js                                     | JavaScript  |          4 |          8 |          3 |         15 |
| c:\xampp_new\htdocs\www\js\jquery.parallax-1.1.3.js                                  | JavaScript  |          1 |          0 |          0 |          1 |
| c:\xampp_new\htdocs\www\js\jquery.scrollTo.min.js                                    | JavaScript  |          1 |          6 |          0 |          7 |
| c:\xampp_new\htdocs\www\js\jquery.simple-text-rotator.min.js                         | JavaScript  |         15 |          1 |          1 |         17 |
| c:\xampp_new\htdocs\www\js\jquery.sticky.js                                          | JavaScript  |        181 |         15 |         22 |        218 |
| c:\xampp_new\htdocs\www\js\jquery.viewport.mini.js                                   | JavaScript  |          1 |          0 |          1 |          2 |
| c:\xampp_new\htdocs\www\js\masonry.pkgd.min.js                                       | JavaScript  |          1 |          7 |          1 |          9 |
| c:\xampp_new\htdocs\www\js\morphext.js                                               | JavaScript  |         15 |          0 |          0 |         15 |
