"filename", "language", "PHP", "Markdown", "XML", "Django HTML", "CSS", "JavaScript", "Django txt", "Python", "SQL", "YAML", "JSON", "comment", "blank", "total"
"c:\xampp_new\htdocs\old\admin\adminer\adminer\sequence.inc.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\xampp_new\htdocs\old\admin\adminer\adminer\sql.inc.php", "PHP", 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23, 269
"c:\xampp_new\htdocs\old\admin\adminer\adminer\sqlite.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12
"c:\xampp_new\htdocs\old\admin\adminer\adminer\static\default.css", "CSS", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 2, 4, 110
"c:\xampp_new\htdocs\old\admin\adminer\adminer\static\editing.js", "JavaScript", 0, 0, 0, 0, 0, 570, 0, 0, 0, 0, 0, 148, 69, 787
"c:\xampp_new\htdocs\old\admin\adminer\adminer\static\functions.js", "JavaScript", 0, 0, 0, 0, 0, 609, 0, 0, 0, 0, 0, 223, 82, 914
"c:\xampp_new\htdocs\old\admin\adminer\adminer\table.inc.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"c:\xampp_new\htdocs\old\admin\adminer\adminer\trigger.inc.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 50
"c:\xampp_new\htdocs\old\admin\adminer\adminer\type.inc.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\xampp_new\htdocs\old\admin\adminer\adminer\user.inc.php", "PHP", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 190
"c:\xampp_new\htdocs\old\admin\adminer\adminer\variables.inc.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\xampp_new\htdocs\old\admin\adminer\adminer\view.inc.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"c:\xampp_new\htdocs\old\admin\adminer\changes.txt", "Django txt", 0, 0, 0, 0, 0, 0, 815, 0, 0, 0, 0, 0, 75, 890
"c:\xampp_new\htdocs\old\admin\adminer\compile.php", "PHP", 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 31, 454
"c:\xampp_new\htdocs\old\admin\adminer\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 1, 32
"c:\xampp_new\htdocs\old\admin\adminer\coverage.php", "PHP", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 3, 83
"c:\xampp_new\htdocs\old\admin\adminer\designs\brade\adminer.css", "CSS", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 4, 1, 63
"c:\xampp_new\htdocs\old\admin\adminer\designs\bueltge\adminer.css", "CSS", 0, 0, 0, 0, 412, 0, 0, 0, 0, 0, 0, 6, 10, 428
"c:\xampp_new\htdocs\old\admin\adminer\designs\cvicebni-ubor\adminer.css", "CSS", 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 12, 2, 273
"c:\xampp_new\htdocs\old\admin\adminer\designs\esterka\adminer.css", "CSS", 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 46, 262
"c:\xampp_new\htdocs\old\admin\adminer\designs\flat\adminer.css", "CSS", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 22, 21, 109
"c:\xampp_new\htdocs\old\admin\adminer\designs\galkaev\adminer.css", "CSS", 0, 0, 0, 0, 779, 0, 0, 0, 0, 0, 0, 51, 161, 991
"c:\xampp_new\htdocs\old\admin\adminer\designs\haeckel\adminer.css", "CSS", 0, 0, 0, 0, 420, 0, 0, 0, 0, 0, 0, 84, 17, 521
"c:\xampp_new\htdocs\old\admin\adminer\designs\hever\adminer.css", "CSS", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 4, 20, 72
"c:\xampp_new\htdocs\old\admin\adminer\designs\jukin\adminer.css", "CSS", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 2, 30
"c:\xampp_new\htdocs\old\admin\adminer\designs\kahi\adminer.css", "CSS", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 67, 71, 290
"c:\xampp_new\htdocs\old\admin\adminer\designs\konya\adminer.css", "CSS", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 10, 15, 129
"c:\xampp_new\htdocs\old\admin\adminer\designs\lucas-sandery\adminer.css", "CSS", 0, 0, 0, 0, 680, 0, 0, 0, 0, 0, 0, 18, 2, 700
"c:\xampp_new\htdocs\old\admin\adminer\designs\mancave-hever\adminer.css", "CSS", 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 31, 24, 202
"c:\xampp_new\htdocs\old\admin\adminer\designs\mancave\adminer.css", "CSS", 0, 0, 0, 0, 949, 0, 0, 0, 0, 0, 0, 77, 189, 1215
