Date : 2022-01-10 17:20:23
Directory : c:\xampp_new\htdocs\old
Total : 555 files,  156571 codes, 14759 comments, 25419 blanks, all 196749 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ms.inc.php                        | PHP        |        295 |         16 |         30 |        341 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\nl.inc.php                        | PHP        |        268 |          0 |          1 |        269 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\no.inc.php                        | PHP        |        282 |          0 |          1 |        283 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\pl.inc.php                        | PHP        |        295 |         16 |         30 |        341 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\pt-br.inc.php                     | PHP        |        263 |          0 |          1 |        264 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\pt.inc.php                        | PHP        |        263 |          0 |          1 |        264 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ro.inc.php                        | PHP        |        268 |          0 |          1 |        269 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ru.inc.php                        | PHP        |        292 |          0 |          1 |        293 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\sk.inc.php                        | PHP        |        268 |          0 |          1 |        269 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\sl.inc.php                        | PHP        |        265 |         14 |         29 |        308 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\sr.inc.php                        | PHP        |        274 |         16 |         30 |        320 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\sv.inc.php                        | PHP        |        304 |         16 |         30 |        350 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ta.inc.php                        | PHP        |        267 |          0 |          1 |        268 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\th.inc.php                        | PHP        |        268 |          0 |          1 |        269 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\tr.inc.php                        | PHP        |        298 |         16 |         30 |        344 |
