"filename", "language", "HTML", "PHP", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp_new\htdocs\www\js\jquery.simple-text-rotator.min.js", "JavaScript", 0, 0, 0, 15, 0, 1, 1, 17
"c:\xampp_new\htdocs\www\js\jquery.sticky.js", "JavaScript", 0, 0, 0, 181, 0, 15, 22, 218
"c:\xampp_new\htdocs\www\js\jquery.viewport.mini.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 2
"c:\xampp_new\htdocs\www\js\masonry.pkgd.min.js", "JavaScript", 0, 0, 0, 1, 0, 7, 1, 9
"c:\xampp_new\htdocs\www\js\morphext.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 15
"c:\xampp_new\htdocs\www\js\owl.carousel.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp_new\htdocs\www\js\placeholder.js", "JavaScript", 0, 0, 0, 99, 0, 13, 49, 161
"c:\xampp_new\htdocs\www\js\rev-slider.js", "JavaScript", 0, 0, 0, 113, 0, 1, 36, 150
"c:\xampp_new\htdocs\www\js\tiltfx.js", "JavaScript", 0, 0, 0, 169, 0, 52, 29, 250
"c:\xampp_new\htdocs\www\js\wow.min.js", "JavaScript", 0, 0, 0, 1, 0, 3, 1, 5
"c:\xampp_new\htdocs\www\mp-index-01.html", "HTML", 1611, 0, 0, 0, 0, 227, 350, 2188
"c:\xampp_new\htdocs\www\mp-index-02.html", "HTML", 1611, 0, 0, 0, 0, 227, 350, 2188
"c:\xampp_new\htdocs\www\mp-index-03.html", "HTML", 1615, 0, 0, 0, 0, 227, 351, 2193
"c:\xampp_new\htdocs\www\mp-index-04.html", "HTML", 1615, 0, 0, 0, 0, 227, 351, 2193
"c:\xampp_new\htdocs\www\mp-index-05.html", "HTML", 1619, 0, 0, 0, 0, 227, 351, 2197
"c:\xampp_new\htdocs\www\mp-index-06.html", "HTML", 1615, 0, 0, 0, 0, 227, 351, 2193
"c:\xampp_new\htdocs\www\mp-index-07.html", "HTML", 1650, 0, 0, 0, 0, 235, 366, 2251
"c:\xampp_new\htdocs\www\mp-index-08.html", "HTML", 1650, 0, 0, 0, 0, 235, 366, 2251
"c:\xampp_new\htdocs\www\mp-index-09.html", "HTML", 1650, 0, 0, 0, 0, 235, 366, 2251
"c:\xampp_new\htdocs\www\mp-index-10.html", "HTML", 1629, 0, 0, 0, 0, 235, 354, 2218
"c:\xampp_new\htdocs\www\mp-index-11.html", "HTML", 1613, 0, 0, 0, 0, 227, 351, 2191
"c:\xampp_new\htdocs\www\mp-index-12.html", "HTML", 1612, 0, 0, 0, 0, 225, 350, 2187
"c:\xampp_new\htdocs\www\mp-index-13.html", "HTML", 1616, 0, 0, 0, 0, 227, 353, 2196
"c:\xampp_new\htdocs\www\mp-index-14.html", "HTML", 1616, 0, 0, 0, 0, 227, 353, 2196
"c:\xampp_new\htdocs\www\mp-index-15.html", "HTML", 1623, 0, 0, 0, 0, 229, 354, 2206
"c:\xampp_new\htdocs\www\mp-index-16.html", "HTML", 1633, 0, 0, 0, 0, 229, 346, 2208
"c:\xampp_new\htdocs\www\mp-index-17.html", "HTML", 1826, 0, 0, 0, 0, 231, 438, 2495
"c:\xampp_new\htdocs\www\mp-index-18.html", "HTML", 1826, 0, 0, 0, 0, 231, 438, 2495
"c:\xampp_new\htdocs\www\mp-index-19.html", "HTML", 1624, 0, 0, 0, 0, 230, 354, 2208
"c:\xampp_new\htdocs\www\mp-index-20.html", "HTML", 1640, 0, 0, 0, 0, 237, 368, 2245
"c:\xampp_new\htdocs\www\mp-index.html", "HTML", 1610, 0, 0, 0, 0, 227, 350, 2187
"c:\xampp_new\htdocs\www\pages-404.html", "HTML", 117, 0, 0, 0, 0, 37, 37, 191
"c:\xampp_new\htdocs\www\pages-about-1.html", "HTML", 969, 0, 0, 0, 0, 124, 217, 1310
"c:\xampp_new\htdocs\www\pages-about-2.html", "HTML", 1070, 0, 0, 0, 0, 147, 251, 1468
"c:\xampp_new\htdocs\www\pages-about-3.html", "HTML", 1050, 0, 0, 0, 0, 147, 259, 1456
"c:\xampp_new\htdocs\www\pages-account.html", "HTML", 786, 0, 0, 0, 0, 92, 173, 1051
"c:\xampp_new\htdocs\www\pages-clients.html", "HTML", 959, 0, 0, 0, 0, 133, 184, 1276
"c:\xampp_new\htdocs\www\pages-contact-1.html", "HTML", 817, 0, 0, 0, 0, 91, 174, 1082
"c:\xampp_new\htdocs\www\pages-contact-2.html", "HTML", 810, 0, 0, 0, 0, 91, 170, 1071
"c:\xampp_new\htdocs\www\pages-faq-1.html", "HTML", 769, 0, 0, 0, 0, 78, 149, 996
"c:\xampp_new\htdocs\www\pages-faq-2.html", "HTML", 775, 0, 0, 0, 0, 80, 158, 1013
"c:\xampp_new\htdocs\www\pages-gallery-1col.html", "HTML", 739, 0, 0, 0, 0, 88, 144, 971
"c:\xampp_new\htdocs\www\pages-gallery-2col.html", "HTML", 763, 0, 0, 0, 0, 94, 164, 1021
"c:\xampp_new\htdocs\www\pages-gallery-3col.html", "HTML", 783, 0, 0, 0, 0, 102, 176, 1061
"c:\xampp_new\htdocs\www\pages-gallery-4col.html", "HTML", 803, 0, 0, 0, 0, 110, 188, 1101
"c:\xampp_new\htdocs\www\pages-gallery-6col.html", "HTML", 803, 0, 0, 0, 0, 110, 188, 1101
"c:\xampp_new\htdocs\www\pages-landing.html", "HTML", 969, 0, 0, 0, 0, 130, 222, 1321
"c:\xampp_new\htdocs\www\pages-pricing-1.html", "HTML", 849, 0, 0, 0, 0, 98, 182, 1129
"c:\xampp_new\htdocs\www\pages-pricing-2.html", "HTML", 880, 0, 0, 0, 0, 104, 192, 1176
"c:\xampp_new\htdocs\www\pages-services-1.html", "HTML", 970, 0, 0, 0, 0, 102, 185, 1257
"c:\xampp_new\htdocs\www\pages-services-2.html", "HTML", 864, 0, 0, 0, 0, 96, 166, 1126
"c:\xampp_new\htdocs\www\pages-services-3.html", "HTML", 859, 0, 0, 0, 0, 100, 183, 1142
"c:\xampp_new\htdocs\www\pages-team-1.html", "HTML", 870, 0, 0, 0, 0, 96, 198, 1164
"c:\xampp_new\htdocs\www\pages-team-2.html", "HTML", 896, 0, 0, 0, 0, 98, 211, 1205
"c:\xampp_new\htdocs\www\pages-under-construction.html", "HTML", 117, 0, 0, 0, 0, 37, 37, 191
"c:\xampp_new\htdocs\www\php\PHPMailer.php", "PHP", 0, 2745, 0, 0, 0, 1836, 370, 4951
"c:\xampp_new\htdocs\www\php\SMTP.php", "PHP", 0, 718, 0, 0, 0, 598, 141, 1457
"c:\xampp_new\htdocs\www\portfolio-boxed-2col.html", "HTML", 817, 0, 0, 0, 0, 94, 151, 1062
"c:\xampp_new\htdocs\www\portfolio-boxed-3col.html", "HTML", 895, 0, 0, 0, 0, 106, 157, 1158
"c:\xampp_new\htdocs\www\portfolio-boxed-4col.html", "HTML", 947, 0, 0, 0, 0, 114, 161, 1222
"c:\xampp_new\htdocs\www\portfolio-boxed-5col.html", "HTML", 934, 0, 0, 0, 0, 112, 160, 1206
"c:\xampp_new\htdocs\www\portfolio-boxed-blackhover.html", "HTML", 947, 0, 0, 0, 0, 114, 161, 1222
"c:\xampp_new\htdocs\www\portfolio-boxed-gutter-2col.html", "HTML", 817, 0, 0, 0, 0, 94, 151, 1062
"c:\xampp_new\htdocs\www\portfolio-boxed-gutter-3col.html", "HTML", 895, 0, 0, 0, 0, 106, 157, 1158
"c:\xampp_new\htdocs\www\portfolio-boxed-gutter-4col.html", "HTML", 947, 0, 0, 0, 0, 114, 161, 1222
