Date : 2022-01-06 10:04:09
Directory : c:\xampp_new\htdocs\www
Total : 270 files,  195118 codes, 28085 comments, 43323 blanks, all 266526 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp_new\htdocs\www\rs-plugin\js\jquery.themepunch.revolution.min.js | JavaScript |          1 |          6 |          2 |          9 |
| c:\xampp_new\htdocs\www\rs-plugin\js\jquery.themepunch.tools.min.js      | JavaScript |         40 |         73 |         30 |        143 |
| c:\xampp_new\htdocs\www\shop-cart.html                                   | HTML       |        830 |         76 |        162 |      1,068 |
| c:\xampp_new\htdocs\www\shop-columns-2col.html                           | HTML       |      1,104 |        128 |        259 |      1,491 |
| c:\xampp_new\htdocs\www\shop-columns-3col.html                           | HTML       |      1,071 |        124 |        250 |      1,445 |
| c:\xampp_new\htdocs\www\shop-columns-4col.html                           | HTML       |      1,121 |        132 |        288 |      1,541 |
| c:\xampp_new\htdocs\www\shop-single.html                                 | HTML       |      1,021 |        121 |        226 |      1,368 |
| c:\xampp_new\htdocs\www\special-barbershop-about.html                    | HTML       |        211 |         49 |         57 |        317 |
| c:\xampp_new\htdocs\www\special-barbershop-contact.html                  | HTML       |        260 |         62 |         78 |        400 |
| c:\xampp_new\htdocs\www\special-barbershop-gallery.html                  | HTML       |        220 |         63 |         71 |        354 |
| c:\xampp_new\htdocs\www\special-barbershop-pricing.html                  | HTML       |        491 |         49 |         57 |        597 |
| c:\xampp_new\htdocs\www\special-barbershop.html                          | HTML       |        442 |        111 |        111 |        664 |
| c:\xampp_new\htdocs\www\special-coming-soon-1.html                       | HTML       |        343 |         79 |        104 |        526 |
| c:\xampp_new\htdocs\www\special-coming-soon-2.html                       | HTML       |        338 |         81 |        110 |        529 |
| c:\xampp_new\htdocs\www\special-construction-1-about.html                | HTML       |        473 |         98 |        165 |        736 |
| c:\xampp_new\htdocs\www\special-construction-1-contact.html              | HTML       |        359 |         87 |        113 |        559 |
| c:\xampp_new\htdocs\www\special-construction-1-portfolio.html            | HTML       |        349 |         88 |        125 |        562 |
| c:\xampp_new\htdocs\www\special-construction-1-services-single.html      | HTML       |        364 |         90 |        114 |        568 |
| c:\xampp_new\htdocs\www\special-construction-1-services.html             | HTML       |        396 |         95 |        131 |        622 |
| c:\xampp_new\htdocs\www\special-construction-1.html                      | HTML       |        693 |        164 |        227 |      1,084 |
| c:\xampp_new\htdocs\www\special-construction-2-about.html                | HTML       |        464 |         91 |        158 |        713 |
| c:\xampp_new\htdocs\www\special-construction-2-contact.html              | HTML       |        350 |         80 |        104 |        534 |
| c:\xampp_new\htdocs\www\special-construction-2-portfolio.html            | HTML       |        340 |         81 |        118 |        539 |
| c:\xampp_new\htdocs\www\special-construction-2-services-single.html      | HTML       |        355 |         83 |        107 |        545 |
| c:\xampp_new\htdocs\www\special-construction-2-services.html             | HTML       |        388 |         88 |        124 |        600 |
| c:\xampp_new\htdocs\www\special-construction-2.html                      | HTML       |        684 |        157 |        220 |      1,061 |
| c:\xampp_new\htdocs\www\special-construction-3-about.html                | HTML       |        468 |         96 |        163 |        727 |
| c:\xampp_new\htdocs\www\special-construction-3-contact.html              | HTML       |        354 |         85 |        109 |        548 |
| c:\xampp_new\htdocs\www\special-construction-3-portfolio.html            | HTML       |        344 |         86 |        123 |        553 |
| c:\xampp_new\htdocs\www\special-construction-3-services-single.html      | HTML       |        359 |         88 |        112 |        559 |
| c:\xampp_new\htdocs\www\special-construction-3-services.html             | HTML       |        392 |         93 |        129 |        614 |
| c:\xampp_new\htdocs\www\special-construction-3.html                      | HTML       |        688 |        162 |        225 |      1,075 |
